gesture,state,seed,valid_features,realised_all_features,path_preserved_0.70_1.30,joint_limits_satisfied,fully_acceptable,clipped_rmse,unclipped_rmse,unclipped_max_abs_error,saturation_rate_0.95,normalisation_clipped_count,path_length_ratio,nearest_path_mse,nearest_path_max_dist,endpoint_error,direction_error,joint_limit_error,smoothness_error,target_weight,clipped_weight,unclipped_weight,unclipped_error_weight,target_time,clipped_time,unclipped_time,unclipped_error_time,target_flow_boundness,clipped_flow_boundness,unclipped_flow_boundness,unclipped_error_flow_boundness,target_space_indirectness,clipped_space_indirectness,unclipped_space_indirectness,unclipped_error_space_indirectness,target_shape_arcness,clipped_shape_arcness,unclipped_shape_arcness,unclipped_error_shape_arcness
reach,confident,7,True,True,True,True,True,0.026806581858987093,0.026806581858987093,0.057379332507935754,0.0,0,1.050490231943258,0.0003023286466328171,0.028256904516349334,0.014385983918102835,0.008302209039495745,0.0,0.013342576073147601,0.8,0.7959140921643646,0.7959140921643646,0.0040859078356354495,0.75,0.735182415138352,0.735182415138352,0.01481758486164797,0.25,0.30737933250793575,0.30737933250793575,0.057379332507935754,0.2,0.19510995156235955,0.19510995156235955,0.00489004843764046,0.25,0.24364324626395595,0.24364324626395595,0.006356753736044052
reach,confident,17,True,True,True,True,True,2.9697663103670327e-07,2.9697663103670327e-07,4.0222315533799957e-07,0.0,0,1.1634180242037433,0.00015399107911378952,0.023245311627561688,0.005919084794466919,0.00034976701678457456,0.0,0.014630629720707668,0.8,0.7999995977768447,0.7999995977768447,4.0222315533799957e-07,0.75,0.7499997122811671,0.7499997122811671,2.8771883286982103e-07,0.25,0.25000038011293835,0.25000038011293835,3.801129383473878e-07,0.2,0.20000021804011692,0.20000021804011692,2.1804011690607084e-07,0.25,0.250000066201699,0.250000066201699,6.620169901161432e-08
reach,confident,27,True,True,True,True,True,3.299241491462844e-06,3.299241491462844e-06,5.0759862849636406e-06,0.0,0,1.0815357645140817,0.0004449687574644176,0.034502191601686265,0.013669148326212906,0.00642244635541922,0.0,0.012221003855872263,0.8,0.8000013667635028,0.8000013667635028,1.366763502708146e-06,0.75,0.749994924013715,0.749994924013715,5.0759862849636406e-06,0.25,0.24999851380101076,0.24999851380101076,1.4861989892367422e-06,0.2,0.19999504649031316,0.19999504649031316,4.953509686850266e-06,0.25,0.2500002127139021,0.2500002127139021,2.1271390210353402e-07
reach,confident,37,True,True,True,True,True,3.852754754189401e-06,3.852754754189401e-06,5.835324656366936e-06,0.0,0,1.076680031316952,0.00033464395780737966,0.03791534682216651,0.016186267601114274,0.008045609045503777,0.0,0.0129708549095895,0.8,0.800002224503503,0.800002224503503,2.224503502956665e-06,0.75,0.7500053035464747,0.7500053035464747,5.303546474655363e-06,0.25,0.24999416467534363,0.24999416467534363,5.835324656366936e-06,0.2,0.19999734534775662,0.19999734534775662,2.6546522433890107e-06,0.25,0.25000021067168204,0.25000021067168204,2.1067168204380593e-07
reach,confident,47,True,True,True,True,True,2.9564528864934227e-05,2.9564528864934227e-05,4.646926896401116e-05,0.0,0,1.068393492913526,0.00011208477681374394,0.02128115030380248,0.02136775853138819,0.01341768569849977,0.0,0.010706520306872094,0.8,0.7999850850630149,0.7999850850630149,1.4914936985133131e-05,0.75,0.750046469268964,0.750046469268964,4.646926896401116e-05,0.25,0.2499883225120991,0.2499883225120991,1.167748790090184e-05,0.2,0.19998072862728422,0.19998072862728422,1.9271372715790047e-05,0.25,0.24996152001816943,0.24996152001816943,3.847998183056922e-05
reach,friendly,7,True,True,True,True,True,3.376673925964286e-05,3.376673925964286e-05,5.587908184681578e-05,0.0,0,1.110906707162388,0.000659930181634054,0.03418445653509408,0.033544375888878986,0.0048272699014120235,0.0,0.011815505111730028,0.4,0.39996452032650953,0.39996452032650953,3.5479673490490526e-05,0.35,0.3500192383659232,0.3500192383659232,1.9238365923213152e-05,0.15,0.1500558790818468,0.1500558790818468,5.587908184681578e-05,0.25,0.24998095666574585,0.24998095666574585,1.9043334254148503e-05,0.45,0.44997577354588064,0.44997577354588064,2.42264541193693e-05
reach,friendly,17,True,True,True,True,True,0.007038937080308722,0.007038937080308722,0.010736669744861316,0.0,0,1.000788545173632,0.0017492446924005406,0.0607617964468438,0.051650246264166276,0.10893479523356808,0.0,0.014179090555440923,0.4,0.4048902498608907,0.4048902498608907,0.004890249860890705,0.35,0.33926333025513866,0.33926333025513866,0.010736669744861316,0.15,0.16001218550108406,0.16001218550108406,0.01001218550108407,0.25,0.2518622229298198,0.2518622229298198,0.0018622229298198012,0.45,0.45219791320167535,0.45219791320167535,0.002197913201675339
reach,friendly,27,True,True,True,True,True,5.277808061151384e-07,5.277808061151384e-07,9.623232097299983e-07,0.0,0,1.0161098724691533,0.00048165700586457535,0.034994469537459376,0.018269997586780454,0.0007399244068984068,0.0,0.011690903810168504,0.4,0.3999996832310281,0.3999996832310281,3.1676897194188314e-07,0.35,0.3500009623232097,0.3500009623232097,9.623232097299983e-07,0.15,0.14999960589820566,0.14999960589820566,3.9410179433763126e-07,0.25,0.2500001528935595,0.2500001528935595,1.528935594796721e-07,0.45,0.4499995668006347,0.4499995668006347,4.33199365323933e-07
reach,friendly,37,True,True,True,True,True,6.105380948576671e-07,6.105380948576671e-07,1.1259537691099553e-06,0.0,0,0.9918646663069703,0.0007278377023068148,0.03321539354819021,0.03215171635239679,0.038904018809233554,0.0,0.009794360358016192,0.4,0.39999945412562155,0.39999945412562155,5.458743784769737e-07,0.35,0.3500002555415741,0.3500002555415741,2.5554157412344125e-07,0.15,0.14999887404623088,0.14999887404623088,1.1259537691099553e-06,0.25,0.2500000981580401,0.2500000981580401,9.815804008495022e-08,0.45,0.4499995276689697,0.4499995276689697,4.723310302878758e-07
reach,friendly,47,True,True,True,True,True,0.001051582574309047,0.001051582574309047,0.001948403015194916,0.0,0,1.0750182991425208,0.0005923134736711457,0.039094337229255524,0.02635578703996052,0.02969849103696165,0.0,0.016183259815738933,0.4,0.39944826081834317,0.39944826081834317,0.0005517391816568518,0.35,0.3492895922861944,0.3492895922861944,0.0007104077138055942,0.15,0.1519484030151949,0.1519484030151949,0.001948403015194916,0.25,0.25093735081531887,0.25093735081531887,0.0009373508153188714,0.45,0.4497875536586741,0.4497875536586741,0.00021244634132588924
reach,confused,7,True,True,True,True,True,1.7788899396794192e-05,1.7788899396794192e-05,3.3327068907546e-05,0.0,0,1.0383812172728069,0.0003910812229251001,0.026086478361558196,0.03251085957016007,0.001585997507797976,0.0,0.008174716511561575,0.2,0.19999054873487962,0.19999054873487962,9.451265120391517e-06,0.3,0.3000179550896555,0.3000179550896555,1.7955089655519174e-05,0.15,0.15003332706890754,0.15003332706890754,3.3327068907546e-05,0.8,0.7999923658955257,0.7999923658955257,7.634104474352199e-06,0.5,0.5000012409587983,0.5000012409587983,1.2409587982764592e-06
reach,confused,17,True,True,True,True,True,0.0008254265910958453,0.0008254265910958453,0.0015643298630877434,0.0,0,0.9970520982006476,0.00156918004483814,0.056094309272200375,0.048274187608188246,0.09157344335264128,0.0,0.013303795833821776,0.2,0.19947718910300494,0.19947718910300494,0.000522810896995074,0.3,0.30156432986308773,0.30156432986308773,0.0015643298630877434,0.15,0.15035463529047527,0.15035463529047527,0.00035463529047527476,0.8,0.799428630555215,0.799428630555215,0.0005713694447850859,0.5,0.49951630908609823,0.49951630908609823,0.00048369091390176866
reach,confused,27,True,True,True,True,True,0.008652177612487783,0.008652177612487783,0.014438423234179237,0.0,0,1.059131860539574,3.535287698333652e-05,0.013056654840233247,0.015237480195180501,0.003320659288026273,0.0,0.007094365140270109,0.2,0.19817201946614849,0.19817201946614849,0.0018279805338515254,0.3,0.2993422040190484,0.2993422040190484,0.0006577959809516143,0.15,0.16443842323417923,0.16443842323417923,0.014438423234179237,0.8,0.7906287242953977,0.7906287242953977,0.009371275704602389,0.5,0.5086161363141793,0.5086161363141793,0.008616136314179346
reach,confused,37,True,True,True,True,True,1.8122372937125902e-07,1.8122372937125902e-07,2.3838140472687286e-07,0.0,0,1.003131508689534,0.000416338648273782,0.02601508387434843,0.025599491036653318,0.016277855033647426,0.0,0.013208586945744094,0.2,0.1999999340130365,0.1999999340130365,6.598696350446076e-08,0.3,0.30000023235660145,0.30000023235660145,2.3235660145948245e-07,0.15,0.1500001308790212,0.1500001308790212,1.3087902120401118e-07,0.8,0.800000178637394,0.800000178637394,1.7863739398826795e-07,0.5,0.5000002383814047,0.5000002383814047,2.3838140472687286e-07
reach,confused,47,True,True,True,True,True,1.3982471626152544e-06,1.3982471626152544e-06,2.7807950871983067e-06,0.0,0,0.9939910309097695,0.0001935089163160897,0.02230711708517445,0.03088363010790572,0.008042797863584417,0.0,0.012022666218887996,0.2,0.1999972192049128,0.1999972192049128,2.7807950871983067e-06,0.3,0.3000005830317989,0.3000005830317989,5.830317988952949e-07,0.15,0.1499987666237162,0.1499987666237162,1.233376283799048e-06,0.8,0.7999997351663243,0.7999997351663243,2.648336757671288e-07,0.5,0.4999996662721018,0.4999996662721018,3.337278982051828e-07
