generation,generation_best_loss,cumulative_best_loss,convergence,eval_count
1,0.33693999091975124,0.33693999091975124,0.00011106847016766157,113
2,0.3179896094902465,0.3179896094902465,0.00010703366070172337,170
3,0.31131482873643923,0.31131482873643923,0.00014464562455963456,227
4,0.3028548412834807,0.3028548412834807,0.00023810984030593325,284
5,0.2737916162021574,0.2737916162021574,0.00025919646977589907,341
6,0.2260169907641192,0.2260169907641192,0.0002791597867731565,398
7,0.2044845718568126,0.2044845718568126,0.00029889316665548645,455
8,0.2044845718568126,0.2044845718568126,0.00030054797700202043,512
9,0.2044845718568126,0.2044845718568126,0.0003519787181303222,569
10,0.2044845718568126,0.2044845718568126,0.00039719985714213764,626
11,0.2044845718568126,0.2044845718568126,0.000483969509144533,683
12,0.2044845718568126,0.2044845718568126,0.0004899128199662394,740
13,0.19161649141175682,0.19161649141175682,0.0005019570876761936,797
14,0.19161649141175682,0.19161649141175682,0.0005127580438593928,854
15,0.19161649141175682,0.19161649141175682,0.0005410883479347214,911
