generation,generation_best_loss,cumulative_best_loss,convergence,eval_count
1,0.37427726244459086,0.37427726244459086,0.00011314571212631855,113
2,0.34967710753982284,0.34967710753982284,0.00019864919391758621,170
3,0.309586422420885,0.309586422420885,0.00023253477646360688,227
4,0.309586422420885,0.309586422420885,0.0002379410711779341,284
5,0.309586422420885,0.309586422420885,0.00023027582653122974,341
6,0.3079292331830608,0.3079292331830608,0.0002560243132892607,398
7,0.3079292331830608,0.3079292331830608,0.0002863481506377208,455
8,0.29028566620877955,0.29028566620877955,0.00033977251891503053,512
9,0.2581500505849644,0.2581500505849644,0.00037568462554119994,569
10,0.2581500505849644,0.2581500505849644,0.00040155652742230235,626
11,0.2581500505849644,0.2581500505849644,0.0004643142244842479,683
12,0.2145221000768878,0.2145221000768878,0.000424474641907732,740
13,0.2145221000768878,0.2145221000768878,0.00042289420541446267,797
14,0.19676923148836012,0.19676923148836012,0.0004543314247046248,854
15,0.19676923148836012,0.19676923148836012,0.0004612023406919003,911
